arg-id,comment-id,argument
A30.0_0,30.0,道にトイレが少ない
A31.0_0,31.0,道が暗いところがある
A32.0_0,32.0,旅行でどこ行ったらいいか分からない
A33.0_0,33.0,おすすめの場所が多くて決まらない
A34.0_0,34.0,相手が英語通じない
A35.0_0,35.0,言語が通じない時
A36.0_0,36.0,相手がどこの国の人か分からない
A37.0_0,37.0,水欲しい時に買う場所がない
A38.0_0,38.0,ベンチが少ない
A39.0_0,39.0,何を買えばいいか分からなくなる
A40.0_0,40.0,雨雲が来てるか普段の時も知りたい
A41.0_0,41.0,駅のホームに着くまで電車の混雑具合が分からない
A42.0_0,42.0,天気予報アプリの降水確率だけでは傘を持って行くか迷う
A43.0_0,43.0,カフェの電源席が空いているかどうか行ってみないと分からない
A44.0_0,44.0,学校の課題提出を忘れがち
A45.0_0,45.0,講義資料が配布される媒体がバラバラで管理しづらい
A46.0_0,46.0,学食が混んでいて入るまでに時間がかかる
A47.0_0,47.0,授業の休講・補講の連絡が遅い
A48.0_0,48.0,Wi-Fiの接続が教室によって不安定
A49.0_0,49.0,コンビニでレジに並ぶ時間が長い
A50.0_0,50.0,賃貸物件の騒音状況が住んでみないと分からない
A51.0_0,51.0,学内のトイレが混んでいて空きを探すのが大変
A52.0_0,52.0,自習室の空き状況が分からない
A53.0_0,53.0,講義の教室変更が分かりづらい
A54.0_0,54.0,スマホの充電が講義中に切れるが、電源席が少ない
A55.0_0,55.0,ノートPCの持ち運びが重くて負担
A56.0_0,56.0,講義の出席確認が紙で効率が悪い
A57.0_0,57.0,Zoom録画がどこで共有されてるか分からず不安
A58.0_0,58.0,友達に講義資料を頼むのが気まずい
A59.0_0,59.0,アプリやサービスのパスワードが多すぎて覚えきれない
A60.0_0,60.0,病院や美容院の予約が電話のみで面倒
A61.0_0,61.0,急な雨に傘を持っておらず濡れる
A62.0_0,62.0,どの授業でどんな課題が出ているか把握しにくい
A63.0_0,63.0,グループワークのメンバーとの連絡手段が定まらない
A64.0_0,64.0,授業の内容をメモするときスマホを使うと怪しまれる
A65.0_0,65.0,物件の壁の薄さ（防音性）が内見時に分からない
A66.0_0,66.0,親から子供への虐待は何とかして無くなれば良いのに
A67.0_0,67.0,夫婦間のDVは何とかして無くなれば良いのに
A68.0_0,68.0,他人の生命を凶器などでおびやかして自らの欲求を得ることは何とかして無くなれば良いのに
A69.0_0,69.0,雨の日はデリバリーの配達人が少なくて配達してくれないことを解決できたら良いのに
A70.0_0,70.0,加湿器の定期的なフィルターの消毒がめんどくさいのを解消できたら良いのに
A71.0_0,71.0,どうしても机の上に置かれる小物が増えてしまうのを効率よく整理できたら良いのに
A72.0_0,72.0,糠漬けの独特の匂いが嫌いな家族に伝わりにくくする方法があれば良いのに
A73.0_0,73.0,ガソリン車でも自動駐車機能がある車があれば良いのに
A74.0_0,74.0,防水機能を謳う製品の防水寿命が短いのを長くできれば良いのに
A75.0_0,75.0,身に着ける静電気防止製品の効果が実際にあるかが事前に分かれば良いのに
A76.0_0,76.0,雷が極近くに落ちる可能性がわかると良いのに
A77.0_0,77.0,道路が凍っているのか凍ってないのか通行前に判断できるようになれば良いのに
A78.0_0,78.0,スーパーの買い物でマイバッグなどに重心を安定して崩れないような入れる順番などを指示してくれれば良いのに
A79.0_0,79.0,一般道で制限速度で走っているとオートバイや車が追い越し禁止でも抜いていくことが多いのが無くなると良いのに
A80.0_0,80.0,歩きタバコをしている人の煙がこちらに向かってきていることを事前にわかると良いのに
A81.0_0,81.0,車から漏れていたり歩きタバコなどで漂って残っている煙の臭いがある場所が事前にわかると良いのに
A82.0_0,82.0,温暖化がCO2だけが原因なのかを確認したいので太陽エネルギーの増減をリアルタイムで見れると良いのに
A83.0_0,83.0,反抗期の子供が親の言うことを聞いてくれると良いのに
A84.0_0,84.0,腕時計型の改札通過タッチデバイスのタッチが左手首にあってほしいので右側にあるタッチ機器にタッチしにくいのを何とかタッチしやすくなれば良いのに
A85.0_0,85.0,花粉症で花粉の吸引を抑制する不織布マスクと顔に合わない隙間を自動的に狭めてフィルター効果を高めてくれる補助器具があると良いのに
A86.0_0,86.0,花粉症の薬で1日の回数2回や1回と1箱の錠数の違いがばらばらなので最もお得な薬を簡単に計算できれば良いのに
A87.0_0,87.0,空きコマの時間が中途半端で有効活用しづらい
A88.0_0,88.0,大学のWi-Fiが弱くてオンライン授業や調べ物がしにくい
A89.0_0,89.0,学食が混んでて座れない
A90.0_0,90.0,レポートの提出フォーマットが授業ごとにバラバラ
A91.0_0,91.0,パソコンの充電スペースが足りない
A92.0_0,92.0,教室の場所が分かりにくくて迷う
A93.0_0,93.0,履修登録システムが使いづらい・重い
A94.0_0,94.0,成績や単位の反映が遅い
A95.0_0,95.0,教科書が高すぎる
A96.0_0,96.0,先生に質問しにくい（特に大人数授業）
A97.0_0,97.0,オンライン授業の音声や映像が途切れる
A98.0_0,98.0,授業で出席を紙でとる場合、忘れやすい
A99.0_0,99.0,プレゼンのとき、プロジェクターの接続トラブルが多い
A100.0_0,100.0,自転車の駐輪場が満車で止められない
A101.0_0,101.0,大学内の掲示情報が紙ベースで探しづらい
A102.0_0,102.0,一人暮らしだと料理や洗濯のやる気が出ない
A103.0_0,103.0,鍵をなくしたり、見つからないことがある
A104.0_0,104.0,バスや電車の時間がアプリと実際でずれる
A105.0_0,105.0,洗濯物が部屋干しだと乾きにくい
A106.0_0,106.0,カフェや図書館が満席で勉強できない
A107.0_0,107.0,電車で帰宅するとき、毎回乗り換えを調べないと帰宅時間がわからない
A108.0_0,108.0,食堂の食券売り場が混雑している
A109.0_0,109.0,授業の教室確認に手間がかかる
A110.0_0,110.0,課題をやる予定をうまく立てられない
A111.0_0,111.0,家族が食べ切れる量の料理を作りたい
A112.0_0,112.0,友達の誕生日が覚えられない
A113.0_0,113.0,お気に入りのレシピをまとめておきたい
A114.0_0,114.0,出席時のログインが面倒
A115.0_0,115.0,海外ゲームの翻訳をしながら英語の勉強をしたい
A116.0_0,116.0,ゲームのログインを忘れるので管理したい
A117.0_0,117.0,デザインの修正を手伝ってほしい
A118.0_0,118.0,無駄遣いをしないで貯金をするモチベーションがほしい
A119.0_0,119.0,寝る前にデバイスの充電を忘れる
A120.0_0,120.0,漫画の最新刊発売日を簡単に確認したい
A121.0_0,121.0,家族で同じものを買わないようにしたい
A122.0_0,122.0,家にある食材がわからない
A123.0_0,123.0,残り物に合わせて料理の献立を考えることが難しい
A124.0_0,124.0,会話の話題作り、話題探しをしてほしい
A125.0_0,125.0,近所のスーパーで一番安い店を探してほしい
A126.0_0,126.0,安売りの食材でレシピを考えてほしい
A127.0_0,127.0,認知症かもしれないと不安になる
A128.0_0,128.0,認知症介護者の悩みを解決したい
A129.0_0,129.0,認知症の人が見えてる世界を知りたい
A130.0_0,130.0,「あれなんだっけ」を思い出したい
A131.0_0,131.0,夏が暑すぎて辛い
A132.0_0,132.0,毎日のゴミが多くて嫌
A133.0_0,133.0,冷房に弱くて夏が辛い。暑いのも辛い
A134.0_0,134.0,冷え性が辛い
A135.0_0,135.0,スマホの広告がウザい。たまに記事が読めない
A136.0_0,136.0,どうでもいいネット記事を読んで時間を溶かすのが悲しい
A137.0_0,137.0,犬猫の可哀想なリール動画が何回も上がってきてしまって困る。最後は助けられて幸せになるところまで見ないと落ち着かないので、見てしまう
A138.0_0,138.0,ドギツイ画像の広告が表示されると凹む
A139.0_0,139.0,旅行前の準備で忘れ物がないか不安
A140.0_0,140.0,旅行基本情報がほしい。重いガイドブックを持ちたくない、Web情報だとページを出すまで面倒で通信が切れたら困る
A141.0_0,141.0,自分の商品をもっと売りたい
A142.0_0,142.0,陰謀論者が多くて困る
A143.0_0,143.0,財布の中の一円玉が溜まって処理に困る
A144.0_0,144.0,Audibleの検索結果や分類が間違っていてストレス
A145.0_0,145.0,何かをポケットに入れて、忘れて無くしたと思ってることが多くて困る
A146.0_0,146.0,猫が大切なものの上に座って困る
A147.0_0,147.0,疎遠気味の友人を遊びに誘いたいが、（コロナ以降は特に）気軽に誘うのが難しくなっている。
A148.0_0,148.0,家族内で決めたルールや役割分担を忘れてしまうことが多く、どこに書いたかもバラバラで探しづらい。
A149.0_0,149.0,各店舗のポイントカードが紙やアプリでバラバラになっており、使いたいときに探せず結局使わずじまいになる。
A150.0_0,150.0,読書や筋トレ、語学など自己研鑽を始めても、モチベーションが続かず途中で止まってしまう。
A151.0_0,151.0,対話型AIが進化しているとはいえ、“友達”のような信頼関係までは築けず、孤独感は解消されない。
A152.0_0,152.0,ニュースサイトやSNSを見ているうちに、何が本当に自分にとって重要なのか分からなくなり、時間を浪費してしまう。
A153.0_0,153.0,SNS上での誹謗中傷が依然として多く、精神的ダメージを受ける人が後を絶たない。
A154.0_0,154.0,ディープフェイク技術により、本人に成りすました偽コンテンツが簡単に作れてしまうという不安がある。
A155.0_0,155.0,Discordなどのチャットツールで会話が流れるスピードが早すぎて、重要な情報を見逃してしまう。
A156.0_0,156.0,ネット上のレビューやコメントがAIによって自動生成されたものも多く、どれが本当に人の声か見分けがつかない。
A157.0_0,157.0,「あとで読む」サービスに記事を保存しても、結局読まないまま情報が溜まっていく。
A158.0_0,158.0,サブスクリプションサービスを契約したまま放置してしまい、実際に必要かどうかを見直すタイミングがない。
A159.0_0,159.0,実現したいアイデアがあっても、それを形にするスキルや人脈がなく、行動に移せずに終わってしまう。
A160.0_0,160.0,応援したい“推し”がいても、「どこで何をすれば応援になるのか」が分かりづらく、行動に結びつかない。
A161.0_0,161.0,イベントやライブの情報がさまざまな媒体に分散しており、日程を整理して把握するのが難しい。
A162.0_0,162.0,音楽アプリでは過去の再生履歴を元におすすめが出てくるが、自分の今の気分や感情までは反映されない。
A163.0_0,163.0,ゲームではキャラの強さが重視され、愛着を持って育てた初期のキャラが後半で使いづらくなる。
A164.0_0,164.0,ネット検索で調べ物をするとき、関連する時系列のグラフやマイルストーンはあるが、それらを横断的に比較するのが手間。
A165.0_0,165.0,チームでのアイデア出しにおいて、アウトプットの粒度が人によってバラバラで、議論がまとまりにくい。
A166.0_0,166.0,自分のキャリアや方向性に迷ったときに、具体的に道を示したり背中を押してくれるような“師匠”と出会う機会が少ない。
A167.0_0,167.0,ゴミ出しの日をよく忘れる
A168.0_0,168.0,エレベーターの到着が遅い
A169.0_0,169.0,ツールの学び方がわからない
A170.0_0,170.0,スマホの充電コードがすぐ断線する
A171.0_0,171.0,飲食店の待ち時間が行かないとわからない
A172.0_0,172.0,学校のWi-Fiが途切れやすい
A173.0_0,173.0,授業スライドのダウンロードが面倒
A174.0_0,174.0,自販機のお釣りの受け取り口がわかりづらい
A175.0_0,175.0,雨の日に傘をどこに置いたか忘れる
A176.0_0,176.0,ラーメン屋のティッシュが取りづらい
A177.0_0,177.0,スマホの通知が多すぎて大事なものが埋もれる
A178.0_0,178.0,コピー機の使い方がわかりにくい
A179.0_0,179.0,電源が少ないカフェが多い
A180.0_0,180.0,コンビニのレジ待ちが長い
A181.0_0,181.0,バスの到着時間がずれる
A182.0_0,182.0,授業で出席確認が面倒
A183.0_0,183.0,ZoomのマイクON/OFF切り替え忘れる
A184.0_0,184.0,トイレの空き状況がわからない
A185.0_0,185.0,荷物が多いと鍵を取り出しにくい
A186.0_0,186.0,Googleカレンダーの通知が多すぎる
A187.0_0,187.0,研究室の雑務のドキュメント資料の作成
A188.0_0,188.0,毎日の水分摂取量がわからない
A189.0_0,189.0,カフェの電源席の空席状況が事前に分からず、直接足を運ぶ必要がある
A190.0_0,190.0,課題や提出物を送信したかどうか、確認できるシステムがない
A191.0_0,191.0,オンライン授業中に音声や映像が途切れる、通信の不具合が起こる
A192.0_0,192.0,学校の掲示板や連絡網で情報が散らばり、必要な情報が見つけにくい
A193.0_0,193.0,スマートフォンのバッテリーがすぐに切れてしまい、充電場所の確認が必要になる
A194.0_0,194.0,パソコンとスマホの使用時間の合計がわからない
A195.0_0,195.0,バスの運行情報がリアルタイムではなく、時刻表通りに待たなければならない
A196.0_0,196.0,自転車のシェアサービスのアプリ操作が分かりにくく、利用時に迷う
A197.0_0,197.0,駐車場の空き状況が事前に確認できず、時間をロスしてしまう
A198.0_0,198.0,レジでのスキャンエラーやポイントカードの読み取りミスが頻発し、会計がスムーズにいかない
A199.0_0,199.0,スーパーやドラッグストアの商品の在庫情報が確認できない
A200.0_0,200.0,学校のカフェテリアの混雑度が事前に把握できず、着席までに待たされる
A201.0_0,201.0,大学のWi-Fiの接続状況が安定せず、ネット環境が心配になる
A202.0_0,202.0,学内の図書館や自習室の空席情報が分からず、利用可能かどうか判断しづらい
A203.0_0,203.0,飲食店の予約システムが不安定で、実際の待ち時間と予約状況に差がある
A204.0_0,204.0,SNSの通知が多すぎて、重要な連絡や情報が埋もれてしまう
A205.0_0,205.0,電話会議やオンラインミーティングで接続が切れたり、音声が乱れたりする
A206.0_0,206.0,移動中に使うナビゲーションアプリが現実の交通状況と乖離している
A207.0_0,207.0,電車に乗ったとき、特定の車両だけ混雑していて乗り降りに時間がかかる。
A208.0_0,208.0,物の長さや角度を測りたいときに定規や分度器を持ち歩くのは不便で邪魔になる。
A209.0_0,209.0,電車が5分遅延するとすぐ連絡があるのに、バスの遅延はあまり通知されず不安になる。
A210.0_0,210.0,デパートなどで位置情報アプリを開いても、現在地が何階にいるか分からない。
A211.0_0,211.0,商品の値段が、半年・年単位や週単位でどう変動しているのかが分かりにくい。
A212.0_0,212.0,自転車に乗っていると、歩数計がうまく反応しない。
A213.0_0,213.0,先生が板書しているとき、手元や書いた履歴が見えず、資料の読み取りなどに苦労する。
A214.0_0,214.0,残りのガソリンであと何キロ走れるのかが分からず、給油のタイミングで迷う。
A215.0_0,215.0,PDCAサイクル専用のアプリがなく、既存の管理ツールでは進捗や目標の確認がしにくい。
A216.0_0,216.0,自分に関係ない情報や広告で、メールボックスがすぐいっぱいになってしまう。
A217.0_0,217.0,同じ差出人からのメールでも、一覧画面では1通ずつバラバラに表示されて見づらい。
A218.0_0,218.0,自分の興味のある分野で「今日何が起きたか」を簡単に知る手段がない。
A219.0_0,219.0,授業中に質問しにくい雰囲気があり、疑問があっても聞けない。
A220.0_0,220.0,服のサイズがメーカーによってバラバラで、通販では特に選びにくい。
A221.0_0,221.0,食堂が混みすぎていて座れないことが多い。
A222.0_0,222.0,欲しい商品がその店に入荷したかどうか分からない。
A223.0_0,223.0,授業の進度がクラス全体に合っておらず、早すぎたり遅すぎたりする。
A224.0_0,224.0,大学の講義について、みんなの評価や感想を気軽に知る方法がない。
A225.0_0,225.0,カフェや施設のWi-Fiが不安定で使いづらい。
A226.0_0,226.0,手持ちの服でどのようにコーディネートするか思いつかない。
A227.0_0,227.0,家計簿をつけようとしてもなかなか続かない。
A228.0_0,228.0,服の洗濯表示が難しくて、正しい洗い方が分からない。
A229.0_0,229.0,朝起きれない
A230.0_0,230.0,何個もかけた目覚まし時計を消すのがめんどくさい
A231.0_0,231.0,よく忘れ物をする
A232.0_0,232.0,鍵をかけたか不安になる
A233.0_0,233.0,メールに来てる大事な連絡とそうじゃないのがわからない
A234.0_0,234.0,Xにスパムリプが多すぎる
A235.0_0,235.0,スマホのDiscordで複数アカウントを使えない
A236.0_0,236.0,自宅のPCを出先から見たい
A237.0_0,237.0,やりたいことを思いつくけどなにもせず忘れる
A238.0_0,238.0,夢の続きが見たい
A239.0_0,239.0,使ってるブラウザが対応してないサイトがある
A240.0_0,240.0,Macで使えないアプリがある
A241.0_0,241.0,Xから情報を取るのが難しい
A242.0_0,242.0,VRChatのツール情報が取りづらい
A243.0_0,243.0,課題の締め切り、やったかどうかを一覧で管理したい
A244.0_0,244.0,アップデート時のCHANGELOGを書くのがめんどくさい
A245.0_0,245.0,BOOTHの期間限定無料アイテムを知りたい
A246.0_0,246.0,BOOTHの無料アイテムを知りたい（投げ銭用有料版があるとそっちに引っ張られて検索対象にならない）
A247.0_0,247.0,BOOTHアイテムのアセット管理ツールに今まで保存しているアイテムを一括登録したい
A248.0_0,248.0,ウサギの水・餌やりを自動化したい
A249.0_0,249.0,コミットメッセージが適当になる
A250.0_0,250.0,傘を持っていくべきか迷った日に限って雨が降る
A251.0_0,251.0,レポート作成時に必要な参考文献をどこにメモしたか忘れる
A252.0_0,252.0,講義室についたらペンの芯がなくなっていることに気づく
A253.0_0,253.0,グループワークでの役割分担が不公平になりがち
A254.0_0,254.0,教室移動の際に次の教室の場所をいつも忘れてしまう
A255.0_0,255.0,デジタルノートとアナログノートのどちらを使うべきか迷う
A256.0_0,256.0,自習室で静かな席を見つけるのに時間がかかる
A257.0_0,257.0,オンラインと対面授業が混在する日のスケジュール管理が難しい
A258.0_0,258.0,図書館で借りたい本が誰かに借りられている
A259.0_0,259.0,長時間のオンライン授業で目が疲れる
A260.0_0,260.0,スマホの通知音が授業中に鳴ってしまう
A261.0_0,261.0,学食のメニューが毎日同じで飽きる
A262.0_0,262.0,資料をプリントアウトし忘れて授業に行ってしまう
A263.0_0,263.0,靴下の片方だけがなくなる謎現象
A264.0_0,264.0,履修登録期間を忘れてしまう
A265.0_0,265.0,友人との待ち合わせ場所が曖昧で見つからない
A266.0_0,266.0,ノートPCのバッテリーが授業中に切れそうになる
A267.0_0,267.0,エレベーターで降りる階を押し忘れる
A268.0_0,268.0,部屋の掃除をしても数日でまた散らかる
A269.0_0,269.0,授業資料や課題の提出先が科目ごとに異なるプラットフォームで混乱する
A270.0_0,270.0,買い物リストを作っても店で見るのを忘れる
A271.0_0,271.0,自転車の空気が減っていることに乗るときになって気づく
A272.0_0,272.0,課題の提出期限がわからなくなる時がある
A273.0_0,273.0,今、なんの花粉が飛んでいるのかわからない（いつから、いつまで）
A274.0_0,274.0,発表者がいつも同じ人になってしまう
A275.0_0,275.0,役割決めが決まらない
A276.0_0,276.0,身近な人の誕生日を忘れる
A277.0_0,277.0,季節の変わり目で服装に迷う
A278.0_0,278.0,英文の精読時に品詞に迷う
A279.0_0,279.0,英単語の発音に迷う
A280.0_0,280.0,夕ご飯を何にするか迷う
A281.0_0,281.0,自分が取得した資格を忘れる
A282.0_0,282.0,課題を全て提出したか不安になる
A283.0_0,283.0,外出時、傘を持っていくか迷う
A284.0_0,284.0,電車遅延があるかわからない
A285.0_0,285.0,旅行先での服装に迷う
A286.0_0,286.0,外食でお店の混雑具合がわからない
A287.0_0,287.0,資料を大量にペーパーでもらった時に管理に困る
A288.0_0,288.0,冷蔵庫に何が入っているかわからなくなる
A289.0_0,289.0,定期検診（歯医者）の予約をいつ頃とったらいいかわからなくなる
A290.0_0,290.0,欲しい商品がどのお店にあるのかわからない
A291.0_0,291.0,電車のどの車両が空いているかわからない
A292.0_0,292.0,災害時、外出してたらどこに避難したら良いかわからない
A293.0_0,293.0,何の服を購入するか決めるのが面倒
A294.0_0,294.0,今日何を食べればいいか決めるのに困る
A295.0_0,295.0,トイレの混雑状況などを知りたい
A296.0_0,296.0,ほとんど使用していないサブスクアプリをスマホの使用時間から教えて欲しい
A297.0_0,297.0,低額だが頻度が多い出費を管理してくれるアプリが欲しい
A298.0_0,298.0,部屋の掃除をするとき優先順位が分からない
A299.0_0,299.0,荷物を届けるときに相手が不在
A300.0_0,300.0,スマホや鍵など部屋にはあるのに行方不明になり、時間的なロスが発生する
A301.0_0,301.0,スーパーで食材を買っても結局使わず捨ててしまう
A302.0_0,302.0,スマホの充電コードが届かない位置にある
A303.0_0,303.0,外にいるときにトイレに行きたくなった場合、公衆トイレの場所などを迅速に知りたい
A304.0_0,304.0,ごみを捨てるときに燃えるゴミ／燃えないゴミ／危険物などを一瞬で判別できるようにしたい
A305.0_0,305.0,運動をするときにおすすめの場所やランニングコースといった場所を提示してくれるアプリが欲しい
A306.0_0,306.0,ティッシュがなくなったときに限って手が汚れる
A307.0_0,307.0,エレベーターが来るのが遅い
A308.0_0,308.0,Wi-Fiがたまに途切れる
A309.0_0,309.0,ポイントカードなどをいちいち財布から取り出すのが面倒
A310.0_0,310.0,電車のみならずレストランなどの混雑状況を知りたい
A311.0_0,311.0,本を借りるために図書館まで移動するのが面倒
A312.0_0,312.0,レジが混雑して面倒
A313.0_0,313.0,昼過ぎにくる急な眠気
A314.0_0,314.0,キャッシュレス決済不可な自動販売機
A315.0_0,315.0,学食がとても混雑する
A316.0_0,316.0,学食のメニューで人気商品はすぐに売り切れる
A317.0_0,317.0,朝きちんと起きれるかが不安
A318.0_0,318.0,レシピを見ながら料理をするときに、いちいち計量するのが面倒
A319.0_0,319.0,課題を出し忘れる
A320.0_0,320.0,家の鍵をかけたか不安になる
A321.0_0,321.0,電子レンジで温めたものを出し忘れる
A322.0_0,322.0,雨が降ると気づかず、洗濯物を外に干す
A323.0_0,323.0,雨の後、傘を干す作業が面倒
A324.0_0,324.0,カード決済をするとき、残高があとどのくらいなのかわからない
A325.0_0,325.0,次の授業がどの教室か忘れる
A326.0_0,326.0,次の授業が何時からか忘れる
A327.0_0,327.0,駅の改札内と改札外のトイレなど、場所によってトイレの混雑状況に差があり、たまにめっちゃ混む
A328.0_0,328.0,授業に必要なものを忘れる
A329.0_0,329.0,旅行などの荷造りでものを入れ忘れる
A330.0_0,330.0,家の掃除で、どこまで掃除機をかけたかわからない
A331.0_0,331.0,ご飯を炊いた後、残ったご飯を冷凍するのが面倒
A332.0_0,332.0,イヤホンの充電をし忘れる
A333.0_0,333.0,授業でUSBを使用した後抜き忘れる
A334.0_0,334.0,家を出るとき、エアコンを消し忘れる
A335.0_0,335.0,部屋が片付けられない。
A336.0_0,336.0,𝕏に時間を奪われる。
A337.0_0,337.0,ズボンのチャックが開いていた。
A338.0_0,338.0,紙の書類が見つからない。
A339.0_0,339.0,祝祭日だけ目覚ましの時間を変えるのが面倒。変えずにゆっくり眠れないのも嫌だ。
A340.0_0,340.0,朝シャツに着替える時に冷たいのが不快だ。
A341.0_0,341.0,雨の日に車のガラスが曇る。
A342.0_0,342.0,車に乗り降りする時に雨に濡れる。
A343.0_0,343.0,洗車してないので汚い。洗車は面倒。
A344.0_0,344.0,人とすれ違う時に右か左か決まっていると人類は幸せになれるのにと思う。
A345.0_0,345.0,仕事中も耳栓をしていたいが、見えない耳栓が存在しない。
A346.0_0,346.0,デスクにあるマウスやキーボードが邪魔。
A347.0_0,347.0,オフィスでエスプレッソを淹れていると変人扱いされる。
A348.0_0,348.0,靴の中になぜか小石が入っている。
A349.0_0,349.0,爪の端っこが裂けると痛くて最悪な状態がしばらく続く。
A350.0_0,350.0,電気自動車の充電中の時間を効率的に使いたい。
A351.0_0,351.0,髪の毛を自分で刈っているが、後ろを見ないで刈ることにリスクを感じている。
A352.0_0,352.0,写真を深度合成するのが面倒でSNSに投稿していない写真が数年分溜まっている。
A353.0_0,353.0,「傘」が100年単位で進歩していない。
A354.0_0,354.0,レーダーではなく、本当に今雨が降っているかを知りたい。
A355.0_0,355.0,息子のくもんの算数の答え合わせが面倒。
A356.0_0,356.0,息子のくもんの算数の答えが間違っていた時にどうして間違えたのかの分析をするのが大変。
A357.0_0,357.0,タイマーは時間が終わった時にしか鳴らない。
A358.0_0,358.0,お気に入りの鯛焼き屋があるが、遠方なのであらかじめ混雑状況を知りたい。
A359.0_0,359.0,社員の外国出張の費用計算をする時に、現地空港から主要都市への公共交通機関を調べるのが面倒。
A360.0_0,360.0,為替レートを大手証券会社のサイトに確認しに行くのが面倒。
A361.0_0,361.0,コーヒーを淹れる時に豆の量に対してどれくらいのお湯を注げばいいのかわからなくなる時がある。
A362.0_0,362.0,職場近隣の公共交通機関と道路の渋滞状況をリアルタイムで把握したい。
A363.0_0,363.0,雨の日と晴れの日で朝の準備物が変わるので、どちらで準備するべきか考えてしまう。
A364.0_0,364.0,忙しい時に限って天気の先読みを忘れる。翌日だけではなく3日先までの天気を起床時に手軽に知りたい。
A365.0_0,365.0,毎日食べる食品（納豆、牛乳）などを賞味期限から逆算してどれだけ買いだめできるかわかればいいのに。
A366.0_0,366.0,社内で研修をする時の配席表が自動的に作成されたらいいのに。
A367.0_0,367.0,社員の月間シフト表が自動的に組まれたらいいのに。
A368.0_0,368.0,手書きのアンケートをレポートにする時にタイプ入力しているので、手間をかけずできるようなものが欲しい。
A369.0_0,369.0,家事のタスクをアプリで管理しているが、どのタスクをするべきか自分で考えている。やるべきタスクを自動的にリストアップしてくれたらいいのに。
A370.0_0,370.0,家族が買い込んだお菓子の賞味期限を確認するのが面倒。
A371.0_0,371.0,クレジットカードの利用状況がお気に入りの金銭管理アプリに連携されない。
A372.0_0,372.0,写真を結合して印刷しているが、今使っているアプリは4枚同時の結合ができない。
A373.0_0,373.0,息子の算数力アップのために3つの数字の足し算の練習を楽しくやってもらいたい。
A374.0_0,374.0,長いデスクワークをした時の疲労度を知りたい。
A375.0_0,375.0,デスクワークが長引いた時に定期的な通知などでストレッチを促して欲しい。
A376.0_0,376.0,持っている茶碗のベストな積み方がわかればいいのに。
A377.0_0,377.0,1日のスケジュールを考えるのが面倒くさい
A378.0_0,378.0,電車の乗り換え時、ルートがわからない
A379.0_0,379.0,自分の感情が動く原因がわからない
A380.0_0,380.0,よく忘れ物をする
A381.0_0,381.0,自分が使ったお金のありかがわからない
A382.0_0,382.0,貯金シミュレーションができない
A383.0_0,383.0,1日の記録を残すのが面倒
