番号,アイデア
204,SNSの通知が多すぎて、重要な連絡や情報が埋もれてしまう
205,電話会議やオンラインミーティングで接続が切れたり、音声が乱れたりする
206,移動中に使うナビゲーションアプリが現実の交通状況と乖離している
207,電車に乗ったとき、特定の車両だけ混雑していて乗り降りに時間がかかる。
208,物の長さや角度を測りたいときに定規や分度器を持ち歩くのは不便で邪魔になる。
209,電車が5分遅延するとすぐ連絡があるのに、バスの遅延はあまり通知されず不安になる。
210,デパートなどで位置情報アプリを開いても、現在地が何階にいるか分からない。
211,商品の値段が、半年・年単位や週単位でどう変動しているのかが分かりにくい。
212,自転車に乗っていると、歩数計がうまく反応しない。
213,先生が板書しているとき、手元や書いた履歴が見えず、資料の読み取りなどに苦労する。
214,残りのガソリンであと何キロ走れるのかが分からず、給油のタイミングで迷う。
215,PDCAサイクル専用のアプリがなく、既存の管理ツールでは進捗や目標の確認がしにくい。
216,自分に関係ない情報や広告で、メールボックスがすぐいっぱいになってしまう。
217,同じ差出人からのメールでも、一覧画面では1通ずつバラバラに表示されて見づらい。
218,自分の興味のある分野で「今日何が起きたか」を簡単に知る手段がない。
219,授業中に質問しにくい雰囲気があり、疑問があっても聞けない。
220,服のサイズがメーカーによってバラバラで、通販では特に選びにくい。
221,食堂が混みすぎていて座れないことが多い。
222,欲しい商品がその店に入荷したかどうか分からない。
223,授業の進度がクラス全体に合っておらず、早すぎたり遅すぎたりする。
224,大学の講義について、みんなの評価や感想を気軽に知る方法がない。
225,カフェや施設のWi-Fiが不安定で使いづらい。
226,手持ちの服でどのようにコーディネートするか思いつかない。
227,家計簿をつけようとしてもなかなか続かない。
228,服の洗濯表示が難しくて、正しい洗い方が分からない。
229,朝起きれない
230,何個もかけた目覚まし時計を消すのがめんどくさい
231,よく忘れ物をする
232,鍵をかけたか不安になる
233,メールに来てる大事な連絡とそうじゃないのがわからない
234,Xにスパムリプが多すぎる
235,スマホのDiscordで複数アカウントを使えない
236,自宅のPCを出先から見たい
237,やりたいことを思いつくけどなにもせず忘れる
238,夢の続きが見たい
239,使ってるブラウザが対応してないサイトがある
240,Macで使えないアプリがある
241,Xから情報を取るのが難しい
242,VRChatのツール情報が取りづらい
243,課題の締め切り、やったかどうかを一覧で管理したい
244,アップデート時のCHANGELOGを書くのがめんどくさい
245,BOOTHの期間限定無料アイテムを知りたい
246,BOOTHの無料アイテムを知りたい（投げ銭用有料版があるとそっちに引っ張られて検索対象にならない）
247,BOOTHアイテムのアセット管理ツールに今まで保存しているアイテムを一括登録したい
248,ウサギの水・餌やりを自動化したい
249,コミットメッセージが適当になる
250,傘を持っていくべきか迷った日に限って雨が降る
251,レポート作成時に必要な参考文献をどこにメモしたか忘れる
252,講義室についたらペンの芯がなくなっていることに気づく
253,グループワークでの役割分担が不公平になりがち
254,教室移動の際に次の教室の場所をいつも忘れてしまう
255,デジタルノートとアナログノートのどちらを使うべきか迷う
256,自習室で静かな席を見つけるのに時間がかかる
257,オンラインと対面授業が混在する日のスケジュール管理が難しい
258,図書館で借りたい本が誰かに借りられている
259,長時間のオンライン授業で目が疲れる
260,スマホの通知音が授業中に鳴ってしまう
261,学食のメニューが毎日同じで飽きる
262,資料をプリントアウトし忘れて授業に行ってしまう
263,靴下の片方だけがなくなる謎現象
264,履修登録期間を忘れてしまう
265,友人との待ち合わせ場所が曖昧で見つからない
266,ノートPCのバッテリーが授業中に切れそうになる
267,エレベーターで降りる階を押し忘れる
268,部屋の掃除をしても数日でまた散らかる
269,授業資料や課題の提出先が科目ごとに異なるプラットフォームで混乱する
270,買い物リストを作っても店で見るのを忘れる
271,自転車の空気が減っていることに乗るときになって気づく
272,課題の提出期限がわからなくなる時がある
273,今、なんの花粉が飛んでいるのかわからない（いつから、いつまで）
274,発表者がいつも同じ人になってしまう
275,役割決めが決まらない
276,身近な人の誕生日を忘れる
277,季節の変わり目で服装に迷う
278,英文の精読時に品詞に迷う
279,英単語の発音に迷う
280,夕ご飯を何にするか迷う
281,自分が取得した資格を忘れる
282,課題を全て提出したか不安になる
283,外出時、傘を持っていくか迷う
284,電車遅延があるかわからない
285,旅行先での服装に迷う
286,外食でお店の混雑具合がわからない
287,資料を大量にペーパーでもらった時に管理に困る
288,冷蔵庫に何が入っているかわからなくなる
289,定期検診（歯医者）の予約をいつ頃とったらいいかわからなくなる
290,欲しい商品がどのお店にあるのかわからない
291,電車のどの車両が空いているかわからない
292,災害時、外出してたらどこに避難したら良いかわからない
293,何の服を購入するか決めるのが面倒
294,今日何を食べればいいか決めるのに困る
295,トイレの混雑状況などを知りたい
296,ほとんど使用していないサブスクアプリをスマホの使用時間から教えて欲しい
297,低額だが頻度が多い出費を管理してくれるアプリが欲しい
298,部屋の掃除をするとき優先順位が分からない
299,荷物を届けるときに相手が不在
300,スマホや鍵など部屋にはあるのに行方不明になり、時間的なロスが発生する
301,スーパーで食材を買っても結局使わず捨ててしまう
302,スマホの充電コードが届かない位置にある
303,外にいるときにトイレに行きたくなった場合、公衆トイレの場所などを迅速に知りたい
304,ごみを捨てるときに燃えるゴミ／燃えないゴミ／危険物などを一瞬で判別できるようにしたい
305,運動をするときにおすすめの場所やランニングコースといった場所を提示してくれるアプリが欲しい
306,ティッシュがなくなったときに限って手が汚れる
307,エレベーターが来るのが遅い
308,Wi-Fiがたまに途切れる
309,ポイントカードなどをいちいち財布から取り出すのが面倒
310,電車のみならずレストランなどの混雑状況を知りたい
311,本を借りるために図書館まで移動するのが面倒
312,レジが混雑して面倒
313,昼過ぎにくる急な眠気
314,キャッシュレス決済不可な自動販売機
315,学食がとても混雑する
316,学食のメニューで人気商品はすぐに売り切れる
317,朝きちんと起きれるかが不安
318,レシピを見ながら料理をするときに、いちいち計量するのが面倒
319,課題を出し忘れる
320,家の鍵をかけたか不安になる
321,電子レンジで温めたものを出し忘れる
322,雨が降ると気づかず、洗濯物を外に干す
323,雨の後、傘を干す作業が面倒
324,カード決済をするとき、残高があとどのくらいなのかわからない
325,次の授業がどの教室か忘れる
326,次の授業が何時からか忘れる
327,駅の改札内と改札外のトイレなど、場所によってトイレの混雑状況に差があり、たまにめっちゃ混む
328,授業に必要なものを忘れる
329,旅行などの荷造りでものを入れ忘れる
330,家の掃除で、どこまで掃除機をかけたかわからない
331,ご飯を炊いた後、残ったご飯を冷凍するのが面倒
332,イヤホンの充電をし忘れる
333,授業でUSBを使用した後抜き忘れる
334,家を出るとき、エアコンを消し忘れる
335,部屋が片付けられない。
336,𝕏に時間を奪われる。
337,ズボンのチャックが開いていた。
338,紙の書類が見つからない。
339,祝祭日だけ目覚ましの時間を変えるのが面倒。変えずにゆっくり眠れないのも嫌だ。
340,朝シャツに着替える時に冷たいのが不快だ。
341,雨の日に車のガラスが曇る。
342,車に乗り降りする時に雨に濡れる。
343,洗車してないので汚い。洗車は面倒。
344,人とすれ違う時に右か左か決まっていると人類は幸せになれるのにと思う。
345,仕事中も耳栓をしていたいが、見えない耳栓が存在しない。
346,デスクにあるマウスやキーボードが邪魔。
347,オフィスでエスプレッソを淹れていると変人扱いされる。
348,靴の中になぜか小石が入っている。
349,爪の端っこが裂けると痛くて最悪な状態がしばらく続く。
350,電気自動車の充電中の時間を効率的に使いたい。
351,髪の毛を自分で刈っているが、後ろを見ないで刈ることにリスクを感じている。
352,写真を深度合成するのが面倒でSNSに投稿していない写真が数年分溜まっている。
353,「傘」が100年単位で進歩していない。
354,レーダーではなく、本当に今雨が降っているかを知りたい。
355,息子のくもんの算数の答え合わせが面倒。
356,息子のくもんの算数の答えが間違っていた時にどうして間違えたのかの分析をするのが大変。
357,タイマーは時間が終わった時にしか鳴らない。
358,お気に入りの鯛焼き屋があるが、遠方なのであらかじめ混雑状況を知りたい。
359,社員の外国出張の費用計算をする時に、現地空港から主要都市への公共交通機関を調べるのが面倒。
360,為替レートを大手証券会社のサイトに確認しに行くのが面倒。
361,コーヒーを淹れる時に豆の量に対してどれくらいのお湯を注げばいいのかわからなくなる時がある。
362,職場近隣の公共交通機関と道路の渋滞状況をリアルタイムで把握したい。
363,雨の日と晴れの日で朝の準備物が変わるので、どちらで準備するべきか考えてしまう。
364,忙しい時に限って天気の先読みを忘れる。翌日だけではなく3日先までの天気を起床時に手軽に知りたい。
365,毎日食べる食品（納豆、牛乳）などを賞味期限から逆算してどれだけ買いだめできるかわかればいいのに。
366,社内で研修をする時の配席表が自動的に作成されたらいいのに。
367,社員の月間シフト表が自動的に組まれたらいいのに。
368,手書きのアンケートをレポートにする時にタイプ入力しているので、手間をかけずできるようなものが欲しい。
369,家事のタスクをアプリで管理しているが、どのタスクをするべきか自分で考えている。やるべきタスクを自動的にリストアップしてくれたらいいのに。
370,家族が買い込んだお菓子の賞味期限を確認するのが面倒。
371,クレジットカードの利用状況がお気に入りの金銭管理アプリに連携されない。
372,写真を結合して印刷しているが、今使っているアプリは4枚同時の結合ができない。
373,息子の算数力アップのために3つの数字の足し算の練習を楽しくやってもらいたい。
374,長いデスクワークをした時の疲労度を知りたい。
375,デスクワークが長引いた時に定期的な通知などでストレッチを促して欲しい。
376,持っている茶碗のベストな積み方がわかればいいのに。
377,1日のスケジュールを考えるのが面倒くさい
378,電車の乗り換え時、ルートがわからない
379,自分の感情が動く原因がわからない
380,よく忘れ物をする
381,自分が使ったお金のありかがわからない
382,貯金シミュレーションができない
383,1日の記録を残すのが面倒
384,時間の使い方が下手
385,人間関係が面倒くさい
386,感覚を言語化するのが大変
387,出先で雨が降られてびちゃびちゃ
388,目標設定がコロコロ変わる
389,スケジュール決めるときに保留になると約束そのものを忘れる
390,旅行先のいいところ調べるのが面倒
391,発表レイアウト考えるの大変
392,実験条件揃えるの考えるのが面倒
393,電話先の特定が大変
394,美味しい地酒の名前と成分すぐ忘れる
395,好きな配信者の配信順がわからない。コラボ含む
396,マニュアル作りが面倒
397,近所のスーパーや薬局で商品の値段を自宅で簡単に比較できない
398,テストや課題の計画を立てて、それに沿って効率よく勉強したいがその計画を立てる時間がない。また最も効率の良い計画を立てるのが難しい
399,スーパーで買い物をするとき、一人暮らしで少量しか必要ないのにたくさん入っているものの方が安い時、近くに住んでいる友人や同じようなシチュエーションのクラスメイトと共有して購入したい
400,近くの空いている病院を教えてほしい
401,家に帰る時間にスーパーが閉まっていることが多々あるので、スーパーに限らず近所の知り合いに代理で購入してもらいたい
402,飛行機などのセールが始まるのが会社によってバラバラで忘れてしまったり時間によっては購入できないことがある
403,大学で一緒に休日を過ごす友達を作りたいけど作れない
404,洗剤やシャンプーなどの消耗品を買い忘れる
405,クレジットカードなどお金を使い過ぎてしまう
406,家計簿をつけたいが、めんどうくさい
407,旅行先で友達を作りたい
408,短時間単発のバイトをしたいが内容が大変だったり遠かったりでなかなか条件に合う仕事がない
409,お金を払ってでもちょっとした頼み事をしたいときに頼める人がだれか分からない
410,どの種類の花粉がどれくらいいつ飛んでいるのかわからなく、薬を用意しておくのを忘れる
411,IKEAの商品が組み立てにくい
412,授業中に先生までの距離が遠くて発言や質問しづらいことがある
413,授業で分からないところがあったときに授業中すぐには聞けない
414,気温や天気によって着る服やコーディネートを考えるのが大変
415,成績が学期末にならないとちゃんと分からない
416,顔の形に合ったパックが欲しい
417,母親の飲んでいる薬が多すぎるのか、それとも適量なのかがわからない
418,子供にとってそれが虐待にあたるのかどうか判断できない
419,忖度すべきかどうかの判断がつかない
420,今、自分がここで反論しているのかどうかがわからない
421,エクセルで作っているのに、GoogleフォームからのCSVをわざわざ転記しているのが効率的かどうかわからない
422,コーヒーなど利尿作用のある飲み物が、水分摂取量にどれだけ含まれるのかがわからない
423,飲んでいる飲み物に利尿作用があるのかどうかがわからない
424,今日、どれくらいの細胞が古くなったのかがわからない
425,今日、どれくらいの細胞が再生して若返ったのかがわからない
426,自分の運動・食事・睡眠のバランスが良いのかどうかがわからない
427,設定したKPIが正しいものなのかどうかがわからない
428,今日の自分の体力に見合った労働時間が何時間なのかがわからない
429,シミがどれだけ増えたのかがわからない
430,今日何回笑ったのかがわからない
431,相手が本当に笑っているのかどうかがわからない
432,「今」は昭和何年に相当するのかがわからない
433,自分の感情が今「嬉しい」のか「悲しい」のかがはっきりしないことがある
434,自分の行動が「休息」なのか「逃避」なのかが判断つかない
435,健康診断の数値が悪化したときに、どの生活習慣が原因なのか特定できない
436,1日でどの行動が自分の幸福度を高めたのかがわからない
437,税金の使われ方がわからない
438,政治で何が行われているか実績などがわからない。誰が正しく仕事をしているかがわからない
439,土地の価格を瞬時に把握する手段がない
440,出席と勤怠管理が異なること
441,職業を知ることができない
442,起業や節税について誰も知らない
443,学習内容が整理されず、復習の仕組みがない
444,買い物時にレシピを思い出しながら買うのが手間で整理されていない
445,スペルが似ている英単語の識別が難しい
446,学生時代に学んだ内容が将来どう活きるか見えにくい
447,教材動画が長く、集中が続かない。短い動画が求められている
448,デジタルと自然を両立した子ども向け教育法が乏しい
449,起業プロセスを気軽に体験できるツールがない
450,子供が、デジタルツールを使いつつ、自然に触れる大切さを知る必要がある
451,英単語の似ているものを覚えるのが大変
452,資本主義において、結果＝お金に偏りすぎて努力が評価されづらい
453,紙のメモは後でまとめるのが面倒
454,アイデアを出しても整理されず埋もれてしまう
455,学生や社会人がアイデアを評価・共有できる仕組みがない
456,AIを使ったプロトタイピングが一般に普及していない
457,SEOや履歴によって偏った情報ばかり出る検索サイトばかり
458,地域や国ごとの偏見がネットで拡散されやすい
459,設立など契約書の作成に専門知識が必要でハードルが高い
460,自分のビジネスをわかりやすく伝える仕組みがない
461,主婦の裁量や努力が可視化・評価されにくい
462,多くのラーメン屋で電子決済ができない
463,Spotifyでフォロー配信の放送並び替えができない
464,公開予定表に空きがあると会議を入れられてしまう
465,積読本や積みボードゲームが増えてしまう
466,遊び終わったボードゲームの駒などを収納するのに手間取る
467,アルゴリズム改変によりSNSで自分に不必要な情報を見てしまう
468,外出予定時間と持ち歩く電子デバイスの充電タイミングが噛み合わない
469,歩きスマホをしている人が危ない（安全に歩きスマホできると良い）
470,天気によって服装の組み合わせを毎日選ぶのが大変
471,毎回アンケートに答えるのが大変
472,研究発表会の質疑応答が活発化しない
473,競合他社の研究開発状況が見えにくい中、自社が優位性を取りにくい
474,空いている時に電車に乗車しても、満員になると不快になる
475,しっかりと運動する時間を確保できない（隙間時間調整や天候による制限）
476,わかりにくいボードゲームのルールに従わなければいけない
477,ルーティーン作業が形骸化してしまう
478,「答えのないテーマ」を扱う話し合いの結論が、形骸化してしまう
479,在宅ワークを訪問セールスによって中断されてしまう
480,電車を乗り間違えに暫く気が付かず、遠くまで移動してしまう
481,イベントの集合写真撮影に毎回時間がかかりすぎる
482,養蜂活動の参加者に参加回数と貢献度がわかるツール
483,養蜂活動のスキルアップを示すNFT配布
484,マーキングした女王バチを、リアルタイム動画で探し出せるアプリ
485,エクセルに取り込んだファイルを、指定先のファイル形式に変更するプログラム
486,エクセルのセル内の文字列にキーワードを見つけると、自動的に仕訳をするプログラム
487,移動した交通費を精算するプログラム
488,銀行勘定帳から、取引先名から経理仕訳を自動化するプログラム
489,スキャンしたファイルから、ファイル内のデータを取り込み、ファイル名を自動化するプログラム
490,写真を撮影したら、テキストデータを読み取って、自動仕訳するアプリ
491,Discord上に上がってくるテキストデータを要約するプログラム
492,撮影したバッグなどの写真データから、メーカー名やモデルを類推して割り当てるアプリ
493,生涯学習社会において、全国の社会福祉施設で学んだ履歴を残すアプリ
494,年間通して病院に行った履歴と費用、交通費などをまとめられるアプリ
495,購入した本を、ISBN番号で管理して履歴を残すアプリ
496,企業名を撮影することで、法人番号やインボイス適格請求書番号を検索するアプリ
497,PDFファイルをドラッグアンドドロップだけで要約するアプリ
498,エクセルのセル内の文字列にキーワードを見つけると、自動的に仕訳をするプログラム（重複・統合済）
499,物撮り撮影した写真の白抜きを自動化するプログラム
500,イベント用あみだくじアプリ
501,サイトから相場を抜き出して、エクセルに落とすプログラム
502,カーシェアで、車を乗り捨てできない
503,ご飯屋さんで、カバンを置く場所がない
504,米を研ぐ行為が面倒
505,洗濯物を畳むことが面倒
506,髪の毛を乾かすのが面倒
507,歯を磨くのが面倒
508,最寄り駅から絶妙に遠い場所がある
509,小雨でも傘をさすべきか迷う
510,突然増えた残業がつらい
511,ハザードランプの出しっぱなしでバッテリーが上がることがある
